一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,定理12.2,,,,,,可交换半群,,"结论: 循环半群满足交换律。
；条件: 循环半群。
；内容: 每个循环半群都是可交换半群。
"
,,定理12.28,,,,,,,,"意义: 描述环中加法逆元与乘法的关系。
；内容: 在环结构中，对于任意元素a和b，有-(a×b)=a×(-b)=(-a)×b。
"
,,定理12.29,,,,,,,,"意义: 表明环中加法单位元是乘法的零元。
；内容: 在环结构中，对于任意元素a，有a×0=0×a=0。
"
,,定理12.3,,,,,,幂等元,,"内容: 群的单位元是唯一的幂等元，且满足消去律。
；应用: 用于证明群的基本性质。
"
,,定理12.30,,,,,,,,"意义: 描述无零因子环与乘法消去律的关系。
；内容: 环结构是无零因子环当且仅当乘法满足消去律。
"
,,定理12.31,,,,,域结构,无零因子含幺交换环,,"意义: 表明特定环结构必然为域。
；结论: 该环必定是域。
；条件: 无零因子含幺交换环，元素大于1且有限。
"
,,定理12.34,,,,,,,分配格,"用途: 判定格是否为分配格。
；内容: 格是分配格当且仅当不存在与钻石格或五角格同构的子格。
"
,,定理12.37,,,,,,,,"条件: 任意有界格
；内容: 有界格的最大值和最小值唯一。
"
,,定理12.39,,,,,,,,"定义: 判定代数系统为布尔代数的公理化定义。
；条件: 满足交换律、分配律、同一律、互补律。
"
,,定理12.4,,,,,,逆元素,,"性质: 描述群中逆元素的基本性质。
；内容: 设$\langle G,*angle$是群，则$(a^{-1})^{-1}=a$且$(a*b)^{-1}=b^{-1}*a^{-1}$。
"
,,定理12.5,,,,,,,,"关系: 群与方程可解性的关系。
；内容: 设$\langle G,*angle$是群，则方程$a\circ x=b$和$y\circ a=b$在$G$中有唯一解。
"
,,定理12.6,,,,,,,,"性质: 有限群元素的阶数性质。
；内容: 有限群$\langle G,*angle$的每个元素都有有限阶，且阶数不超过群的阶数|G|。
"
,,定理12.7,,,,,,,,"条件: 元素阶数的整除条件。
；内容: 设$\langle G,*angle$为群，元素$a$的阶为$k$，则$a^{n}=e$当且仅当$k$整除$n$。
"
,,定理2.1,,,,,,,,"性质: (1) a|b当且仅当±a|±b；(2) 若a|b, b|c, 则a|c；(3) 若b|ai, 则b|Σaixi；(4) 若b|a, 则bp|ap；(5) 若b|a, a≠0, 则|b|≤|a|。
；内容: 描述整数整除运算的基本性质，包括传递性、线性组合等。
"
,,定理2.15,,,,,,,,"描述: 素数p与任意整数a的关系：要么互素，要么p能整除a。
；应用: 考察整数性质的基础。
"
,,定理2.16,,,,,,,,"推广: p能整除多个整数的乘积，则p至少能整除其中一个。
；描述: 素数p能整除ab，则p至少能整除a或b。
"
,,定理2.17,,,,,,,,"结论: 正整数集合中的素数有无穷多个。
"
,,定理2.18,,,,,,,,"描述: 整数a的最小正因数q是素数，且若a是合数，则q≤√a。
；应用: 用于素数计数与分布分析。
"
,,定理2.2,,,,,,,,"术语: a为除数，b为被除数，q为商，r为余数。
；内容: 任意两个整数a和b(a≠0)，存在唯一整数对q和r，使b=aq+r，0≤r<|a|。
"
,,定理3.10,,,,,,主合取范式,,"意义: 保证主合取范式的存在性。
；内容: 任何一个命题公式都有与之等价的主合取范式。
"
,,定理3.11,,,,,,,,"联系: 表明永真蕴含关系与蕴含联结词紧密相关。
；内容: G永真蕴含H当且仅当G→H为永真公式。
"
,,定理3.12,,,,,,,,"性质: 永真蕴含关系的基本性质
；内容: 自反性、反对称性、传递性
"
,,定理3.13,,,,,,,,"结论: A\Rightarrow B 且 B\Rightarrow A
；条件: A\Leftrightarrow B
"
,,定理3.5,,,,,,内否公式,,"结论: 包括(G*)*=G, (G¬)¬=G等等值式。
；内容: 给出内否式和对偶式的基本性质和关系。
"
,,定理3.6,,,,,,对偶式,,"结论: 命题公式G的否定与其命题变元否定的对偶式等值，内否式与对偶式的否定等值。
；内容: 描述命题公式与其对偶式和内否式之间的等值关系。
"
,,定理3.8,,,,,,合取范式;析取范式,,"意义: 保证命题公式的范式存在性。
；内容: 任意命题公式都存在等值的析取范式和合取范式。
"
,,定理3.9,,,,,,,主析取范式,"结论: 命题公式存在等价的主析取范式。
；内容: 任何一个命题公式都有与之等价的主析取范式。
"
,,定理4.1,,,,,,逻辑蕴含,,"特性: 仅涉及蕴含关系，非等值式。
；定义: 描述谓词公式间逻辑蕴含关系的定理。
；内容: 包含两个逻辑蕴含式：∀x G(x)∨∀x H(x)⇒∀x(G(x)∨H(x)) 和 ∃x(G(x)∧H(x))⇒∃x G(x)∧∃x H(x)。
"
,,定理4.2,,,,,,前束型公式,谓词公式,"特性: 转化形式不唯一
；内容: 任意含量词的谓词公式可转化为等值的前束型公式
"
,,定理4.3,,,,,,前束范式,,"特性: 范式的形式不唯一。
；内容: 任意含量词的谓词公式都存在等值的前束析取范式和前束合取范式。
"
,,定理4.4,,,,,,∃型前束范式,,"内容: 任意谓词公式可转化为∃型前束范式，且有效公式与其∃型前束范式等值。
；应用: 用于谓词公式的演算和验证。
"
,,定理4.5,,,,,,无∃型前束范式,,"内容: 任意谓词公式可转化为无∃型前束范式，且永假公式与其无∃型前束范式等值。
；应用: 判断谓词公式是否为永假公式。
"
,,定理5.10,,,,,,传递性;反对称性;对称性;反自反性;自反性,,"结论: 自反、反自反、对称、反对称、传递的判定条件
；条件: 设R是集合A上的二元关系
；内容: 判定关系基本性质的五个条件
"
,,定理5.11,,,,,,反自反性;自反性,,"结论: 若R、S具有某种性质，则其逆关系、并、交、复合关系也具有该性质
；条件: 设R、S是定义在A上的二元关系
；内容: 关系性质的传递性
"
,,定理5.12,,,,,,,,"公式: r(R)=R∪R^0, s(R)=R∪R^−1
；内容: 给出自反闭包和传递闭包的构造方法。
"
,,定理5.19,,,,,,,,"用途: 给出使用关系矩阵构造自反闭包和对称闭包的具体方法。
；内容: 设R是非空集合A上的关系，R、r(R)、s(R)的关系矩阵分别是M、Mr、Ms，则有：Mr=M∨M0；Ms=M∨MT。其中M0为单位矩阵，MT为M的转置矩阵。
"
,,定理5.7,,,,,,幂关系,,"结论: 存在s和t，使得R^s = R^t，0 ≤ s < t ≤ 2^(n^2)。
；条件: 集合A有n个元素，R是A上的二元关系。
；内容: 有限集合上的二元关系，其方幂运算结果在一定次数后循环出现。
"
,,定理5.8,,,,,,逆关系,,"结论: (R ∘ S)^-1 = S^-1 ∘ R^-1
；条件: R从A到B，S从B到C。
；内容: 关系复合运算的逆等于逆关系的复合。
"
,,定理6.2,,,,,集合划分,,等价关系,"结论: 划分与等价关系一一对应。
；内容: 任一划分导出的关系是等价关系。
"
,,定理6.4,,,,,,,完全覆盖,"定义: 设R是非空集合A上的相容关系，由R所有最大相容类构成的集合可以构成A的一个覆盖，称为完全覆盖。
；结论: 每个相容关系唯一确定一个完全覆盖。
"
,,定理6.5,,,,,,相容关系导出,,"定义: 设Q为集合A的任一覆盖，由该覆盖确定的关系R是A上的相容关系，称为由覆盖导出的相容关系。
；结论: 不同覆盖可能产生相同相容关系。
"
,,定理6.6,,,,,,最小元;最大元,,"内容: 有限子集B的最大元或最小元若存在，则唯一。
；应用: 确保偏序集中特殊元素的唯一性。
"
,,定理6.7,,,,,,极小元;极大元,,"内容: b是B的最大元当且仅当b是B的唯一极大元；b是B的最小元当且仅当b是B的唯一极小元。
；应用: 描述最大元、最小元与极大元、极小元的关系。
"
,,定理6.8,,,,,,下界;上界;最小元;最大元,,"内容: 描述偏序集中8个特殊元素之间的关系。
；应用: 用于推导和验证偏序集中特殊元素的性质。
"
,,定理7.1,,,,,函数,,,"结论: 从A到B一共有|B|^|A|种不同的函数
；条件: 设A和B是任意两个非空有限集合
"
,,定理7.2,,,,,,子集像,,"结论: (1)f(X∪Y)=f(X)∪f(Y); (2)f(X∩Y)⊆f(X)∩f(Y)
；条件: 设A和B是任意给定的两个非空集合，X和Y是集合A的任意两个非空子集，f是一个从A到B的函数
"
,,定理7.3,,,,,,,满射函数;单射函数,"结论: 如果$f$是从$A$到$B$的单射函数，则$f$必然是满射函数，反之亦然。
；条件: 设$𝐴$，$B$是有限集合且$|A|=|B|$。
"
,,定理7.9,,,,,特征函数,并集;交集;子集;全集,集合运算,"用途: 用特征函数表达集合关系和运算。
；内容: 给定全集U，A⊆U和B⊆U，对所有x⊆U，成立以下关系式：(1)χ_¬A(x)=1-χ_A(x); (2)χ_A∩B(x)=χ_A(x)·χ_B(x)=min{χ_A(x),χ_B(x)}; (3)χ_A∪B(x)=χ_A(x)+χ_B(x)-χ_A∩B(x)=max{χ_A(x),χ_B(x)}; (4)χ_A(x)≤χ_B(x)⇔A⊆B; (5)χ_A(x)=χ_B(x)⇔A=B; (6)χ_A-B(x)=χ_A∩¬B(x)=χ_A(x)·χ_¬B(x)=χ_A(x)-χ_A∩B(x)。
"
,,定理9.4,,,,,,普莱姆算法,,"结论: 保证局部最优达到全局最优。
；条件: 连通无向赋权图。
；内容: 普莱姆算法构造的生成树是最小生成树。
"
,,定理9.5,,,,,,克鲁斯卡尔算法,,"结论: 保证生成树具有最小权。
；条件: 连通无向赋权图。
；内容: 克鲁斯卡尔算法构造的生成树是最小生成树。
"
,,定理9.6,,,,,,,,"内容: 在k元完全树中，若叶数为t，分支点数为i，则(k-1)×i=t-1。
；应用: 用于k元完全树中叶数和分支点数的关系计算。
"
,,宽带分配问题,,,,,,递推公式;优先级函数;动态宽带;静态宽带,组合优化问题,"方法: 使用递推公式和动态规划求解。
；定义: 在有限宽带资源下优化分配给用户的问题。
；目标: 最大化业务优先级收益。
"
,,对偶,,,,,,,,"记法: 记为$G^{*}$。
；定义: 将命题公式中的联结词和常量互换得到的新公式。
；性质: 对偶公式的对偶公式等于原公式。
；原理: 对偶原理表明等值关系成对出现。
"
,,对偶性,,,,,,,,"定义: 格结构的基本特征，偏序关系可逆。
；原理: 对偶格间命题真伪一致。
；应用: 用于分析格的性质。
"
,,对称式加密,,,,,,,,"示例: 仿射加密算法。
"
,,对称群,,,,,,,变换群,"特性: 一定是有限群。
；关系: 是变换群的特例。
；定义: 有限集合上全体一一变换构成的群。
；应用: 用于研究有限集合上的对称性质。
"
,,尼姆博弈,,,,,,取子游戏,,"定义: 一种取子游戏，关键在于初始状态和先手策略。
；应用: 用于分析轮流摸牌等博弈问题。
"
,,局部最优解,,,,,,,,"定义: 在当前状态下做出的最优决策。
；作用: 构成贪心算法的每一步决策。
；描述: 贪心法通过局部最优解逼近全局最优解。
"
,,布尔函数,,,,,,主合取范式,主析取范式,"定义: 输入布尔值，输出布尔值的函数；从B^n到B的函数，能用B上的n元布尔表达式表示；从集合A到B={0,1}上的函数。
；性质: 每个布尔表达式代表一个布尔函数。
；应用: 用于电路设计和逻辑运算；表示布尔表达式的运算性质；计算机科学中常用。
"
,,布尔同态,,,,,,同态映射,,"关系: 与布尔同构相关，但要求较弱。
；定义: 布尔代数间保持部分运算结构的映射；两个布尔代数间满足特定运算保持的映射。
；作用: 保持布尔代数结构不变。
；条件: 映射满足运算对应关系。
"
,,布尔同构,,,,,,同构映射,,"定义: 布尔代数间保持运算结构的映射；两个布尔代数间存在双射且保持运算的映射。
；作用: 表明不同布尔代数结构的等价性；表明两个布尔代数结构完全相同。
；条件: 映射是双射且满足运算对应关系。
"
